,date,cases,deaths,new_cases,new_deaths,sentiment,polarity,subjectivity,vader,vader_pos,vader_neg,vader_neut,covid: (United States),online therapy: (United States),symptoms: (United States),vaccine: (United States),position_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
109,2020-05-09,1316511.0,78834.0,24868.0,1454.0,0.10569583088667057,0.03763114162852654,0.521434048202415,0.15100302407516147,0.006958100279849008,0.009880319147818364,-0.01262692317055747,51,62.0,17.0,41.0,99.31724592324164,73.46615055180365,206619.36781419866,0.28347883380003297,0.002091720054417525,0.6295737605007412,5.641739416900016,-6.310690331082194,0.5748641080546862,0.11012986328446714,0.2733314247899852,0.012427619685389557,0.1719987316751771,0.5397971009718333,121.77139680448032,3.9841871190907594
110,2020-05-10,1336828.0,79766.0,20317.0,932.0,0.06145567827810818,0.03140280957821848,0.5181253166092513,0.1080149815916171,-0.02258338538298126,0.04428555323180649,-0.010258344564391786,48,69.0,17.0,38.0,99.39424815119145,73.71503697617091,205599.42892358257,0.3040262941659819,-0.016209352524751305,0.6183984059161873,5.639441248972884,-6.409387345932622,0.5677896466721446,0.11098327033689401,0.2850048339194741,0.011382790024650782,0.17213456039441247,0.5295118488085456,121.47794050944947,3.98290879211175
111,2020-05-11,1354449.0,80748.0,17621.0,982.0,0.050180205156639866,0.030633103959220264,0.5175353574235211,0.09527429997227613,-0.029385947182269456,0.05384594703989591,-0.010807557701991176,59,88.0,18.0,43.0,99.42977111806356,73.98896756133706,204406.2231187222,0.32092870080685,0.012896434347542257,0.6213832208134366,5.665898238103079,-6.323133871233328,0.5610077391733904,0.11484750535155606,0.279390413321258,0.01115854608924749,0.16949774411328833,0.5263489214556232,121.56353647291289,3.9860036225917996
112,2020-05-12,1376749.0,82400.0,22300.0,1652.0,0.05865999443981095,0.03148758100138031,0.5174040092374523,0.10337294968028912,-0.02012944720992856,0.04796171802880749,-0.014802756332416124,56,89.0,18.0,47.0,99.26549399967122,73.91484464902186,204783.8875554825,0.31925036988328126,0.01598762003013259,0.6221805523590334,5.669077757685352,-6.312478711162255,0.5633733355252343,0.11441228012493836,0.2783863942298208,0.011127215512082853,0.16988721025809633,0.5271498931448299,121.62904915337828,3.9852046687489726
113,2020-05-13,1397894.0,84168.0,21145.0,1768.0,0.06358059118795314,0.03154828168512283,0.5170398247788434,0.10798059118795315,-0.01964038693540207,0.04491356639317032,-0.013157747123524605,57,96.0,18.0,46.0,99.26935695538057,73.9235564304462,204737.4647309711,0.3185695538057743,0.01574034859698811,0.6230668143044619,5.673392388451443,-6.315480150918636,0.5652887139107612,0.11441363188976378,0.2786254667979003,0.011017450464238845,0.17050444553805774,0.528146128608924,121.5833221784777,3.984744094488189
114,2020-05-14,1424856.0,85906.0,26962.0,1738.0,0.06907245559627855,0.031321777549172695,0.5171879463511097,0.11278226670425712,-0.017695393609997973,0.03868612244635773,-0.01067570766983838,56,78.0,17.0,51.0,99.38299264104661,73.7965658217498,204679.05183973836,0.32003270645952575,0.015870609733846033,0.6237155028618152,5.673753066230581,-6.3238040883074405,0.5646770237121832,0.11438644317252658,0.27750065504497134,0.010898050518397383,0.1706970073589534,0.5291334750613246,121.50984448078496,3.985118560915781
115,2020-05-15,1451093.0,87499.0,26237.0,1593.0,0.05098732684939582,0.026707580479750803,0.5163173053166054,0.10131332154435603,-0.03293712864521037,0.03726787541165734,0.003417962975871278,54,76.0,17.0,56.0,99.0868809730669,73.69852302345787,205199.61164205038,0.30790616854908776,0.030774664879337672,0.6260483058210252,5.602780191138141,-6.300856125108602,0.5671589921807124,0.11332199826238054,0.2728078376889661,0.011415877059947873,0.17125087749782797,0.5316654213727193,121.95987958297133,3.983666377063423
116,2020-05-16,1474752.0,88724.0,23659.0,1225.0,0.06930693069306931,0.030579562385935174,0.5172793464409785,0.12057722772277228,-0.034722340744850505,0.0042592724338568755,0.027030840755948266,48,62.0,16.0,48.0,99.33800725833058,73.46799736060706,205984.61497855492,0.2951171230616958,0.016118362808018694,0.6279710161662817,5.609369844935665,-6.3335936984493575,0.5730781920158363,0.11112589904322007,0.27289594967007585,0.011511728185417354,0.17210361266908608,0.5378525239194986,121.92167518970636,3.9826789838337184
117,2020-05-17,1493766.0,89568.0,19014.0,844.0,0.06901530464914814,0.02970856785180761,0.5196729586557454,0.11866445278660122,-0.02025758326587547,0.018522361819227007,0.005086237316507357,48,90.0,16.0,45.0,99.14099604221636,73.62483509234829,205377.9084762533,0.299967018469657,0.00517341041078866,0.6229124835092348,5.6263192612137205,-6.356256596306068,0.5702506596306068,0.11162356530343008,0.2794281493898417,0.01138413189808707,0.17172445580474932,0.5324754122691293,121.5233647757256,3.9816952506596306
118,2020-05-18,1515593.0,90414.0,21827.0,846.0,0.06315491362220334,0.029734003205169175,0.5191341237309014,0.11052075899178704,-0.026649793065016206,0.0346120274365019,-0.00020629591167928583,55,74.0,17.0,74.0,98.90028066699686,73.9638434868747,204320.50371471024,0.3155027241208519,0.023505928160330456,0.6226549942215618,5.6422321281162295,-6.312012217269276,0.5661218424962853,0.11444523691596499,0.27856291900280666,0.011421365373947499,0.16954569919101867,0.5287718342413736,121.65085685983159,3.9838203731220077
119,2020-05-19,1536570.0,91934.0,20977.0,1520.0,0.061155152887882216,0.028695862883542013,0.5183500558323014,0.10987163080407701,-0.026873875050332136,0.02728045282174027,0.004896059019659074,55,70.0,18.0,64.0,98.77986798679868,73.93993399339934,204494.02392739273,0.31600660066006603,0.031065536100713994,0.624925297029703,5.644224422442244,-6.294791584158416,0.5655115511551155,0.11460125412541254,0.2764953512211221,0.011458341346534652,0.17088328382838283,0.5302182673267326,121.59625478547855,3.9844884488448846
120,2020-05-20,1559640.0,93411.0,23070.0,1477.0,0.07240592930444698,0.02889353183859976,0.5195756324771322,0.11864572405929305,-0.025587290680517193,0.016458975568952792,0.01101954360912094,52,69.0,17.0,48.0,98.7287662230984,73.80762280269427,204362.16789880072,0.31246919664859535,0.03294546736982803,0.6271958764580253,5.634138327583375,-6.283100706423525,0.5667816658452439,0.11407397732873337,0.27332257210448496,0.010722927213734188,0.17080114999178578,0.5340371611631346,121.58687744373255,3.9840643995400034
121,2020-05-21,1585373.0,94722.0,25733.0,1311.0,0.08292401040161802,0.030977996649722617,0.518951146432218,0.12839436579023403,-0.02322125804775179,0.0019552255814445224,0.018724024321694455,52,70.0,17.0,48.0,98.38096800656275,73.6447908121411,204936.80459392944,0.3028712059064807,0.02388541255558722,0.6284059557013946,5.633305988515176,-6.276778014766202,0.5684987694831829,0.11217763740771125,0.27223208858080394,0.010636695894995898,0.17064109926168988,0.536348383921247,121.83645283018869,3.9850697292863004
122,2020-05-22,1609172.0,96010.0,23799.0,1288.0,0.08354866494401378,0.029450211213547798,0.5292276606069032,0.13200783807062877,-0.042315573543277016,-0.04486073717021484,0.06641593642072384,48,56.0,16.0,46.0,98.48240675580577,73.64532019704434,204553.41432090077,0.3103448275862069,0.042953098194956865,0.6320618050668543,5.6425052779732585,-6.221239795918367,0.576530612244898,0.11234095707248418,0.2679914717452498,0.01074701101864884,0.17192860661505982,0.5356681738212526,122.36659412385644,3.986277269528501
123,2020-05-23,1631440.0,97060.0,22268.0,1050.0,0.0842383328441444,0.03235709976124139,0.5246142971635362,0.13420777810390372,-0.050192707731274266,-0.04325785484537872,0.07212098994533964,45,50.0,16.0,41.0,98.82681940700809,73.42132749326146,205658.74022911052,0.2986859838274933,0.028712536721688806,0.6326191543126685,5.651785714285714,-6.267770721024259,0.5742924528301887,0.11058362533692723,0.2680283967149596,0.011101174029649595,0.172544474393531,0.5417018362533693,122.2340951819407,3.9848382749326148
124,2020-05-24,1651471.0,97680.0,20031.0,620.0,0.09090909090909091,0.031969604486686766,0.5232961162087079,0.139079436537903,-0.03592733281076181,-0.03202393383741948,0.052359721762353276,46,61.0,16.0,36.0,98.8112704234745,73.74774924974992,205457.91347115705,0.29909969989996665,0.01394453132965891,0.6256842780926976,5.641047015671891,-6.312983494498166,0.5778592864288096,0.1103504001333778,0.2780563944481494,0.010812022632544181,0.17192544181393798,0.5349847115705235,121.7019586528843,3.984161387129043
125,2020-05-25,1670571.0,98190.0,19100.0,510.0,0.07593457943925233,0.029091115721909314,0.5228559893700284,0.1252101051401869,-0.029979619210127744,-0.0041224632015076845,0.028589530768003794,46,73.0,16.0,37.0,98.52396439575487,74.06778500513522,204519.59465936324,0.3139335843889079,0.03128355264777705,0.6252872817528243,5.66004792879151,-6.283599109893872,0.5708661417322834,0.11229363231769943,0.27638651359123584,0.011131146218760699,0.17066675795960287,0.5321586442998973,121.76754809996575,3.9866484080794247
126,2020-05-26,1689467.0,98937.0,18896.0,747.0,0.08824374820350675,0.030775255581075207,0.5220798895346769,0.13556490370796206,-0.026884576397773734,-0.009971694465407153,0.029849949534456126,53,82.0,17.0,48.0,98.75921620724012,73.94304217867818,204242.79840584524,0.31268681501162404,0.0416459211192179,0.6274944038525406,5.66456326801727,-6.262912155430089,0.5715709066755231,0.11314020259050149,0.2743306480239123,0.010905845817004317,0.17019882098970443,0.5322454168050481,121.7310572899369,3.986715376951179
127,2020-05-27,1708211.0,100422.0,18744.0,1485.0,0.09410071942446044,0.030340136782555996,0.5210268370607747,0.14039223021582733,-0.025314431720700022,-0.011377103028590026,0.029449293405972604,51,64.0,17.0,41.0,98.52252401457436,73.99685326266976,204347.24478304075,0.3067240808214641,0.035637218363463084,0.6274384398807552,5.686319973501159,-6.266093905266645,0.5723749585955614,0.11297298774428619,0.2746523,0.010986830826432594,0.17010187148062272,0.5314252567075191,121.5543560781716,3.9865849619079166
128,2020-05-28,1730723.0,101622.0,22512.0,1200.0,0.09673726388093876,0.029364049200234752,0.5193243962989844,0.14244479107040642,-0.021952094452396126,-0.01496827976690981,0.02903040411693918,46,74.0,17.0,38.0,98.78374359821576,73.97587972905997,204126.58532958865,0.3041467041136626,0.03802566952204267,0.6289960845861556,5.680323806377003,-6.256048901371221,0.5699653064596069,0.11380546836279531,0.27317824457293904,0.010614718939368908,0.17215511316702464,0.5327631918057162,121.48558797290599,3.985957376507517
129,2020-05-29,1755271.0,102812.0,24548.0,1190.0,0.049789029535864976,0.027666347789688493,0.5228505055737827,0.09334959212376934,-0.03299592856259992,-0.00227431420766026,0.029936246437974254,43,66.0,15.0,34.0,99.94266260526787,73.74950725676402,203868.43719763483,0.30711342053395446,0.05798838428808658,0.6349006987994983,5.724242967210177,-6.176813474287762,0.5742698441139581,0.11451754165920086,0.2673369228453682,0.010138158330048379,0.1756307830137968,0.5403271277548827,122.22604174879054,3.9847697545242786
130,2020-05-30,1778668.0,103775.0,23397.0,963.0,0.07157114342743086,0.031654707258310884,0.5202725219895454,0.11597479327060166,-0.030490552498739512,-0.032684129071809745,0.0481748547629498,37,62.0,15.0,29.0,98.63847343991749,73.50455561285887,204590.3886883273,0.295513151108819,0.043544752188707174,0.6375594464500602,5.698813821557504,-6.203419975932611,0.5777892384390579,0.11193365996217983,0.26390916965789923,0.010570358088361698,0.17587373216434588,0.5467287605294825,122.26313219872787,3.984700017190992
131,2020-05-31,1799302.0,104379.0,20634.0,604.0,0.08547008547008547,0.031136342299728493,0.5201656369310353,0.1283297150997151,-0.02743905408707487,-0.032790113854251304,0.04562393847603094,33,54.0,15.0,25.0,98.51067434767876,73.65808200609963,204835.83937648256,0.298881735005083,0.03154261861896367,0.63310120298204,5.669772958319214,-6.2432007793968145,0.5787868519146052,0.1124923076923077,0.2710610047272111,0.01038540706879024,0.1745502541511352,0.5428722128092173,121.9455962385632,3.9833954591663843
132,2020-06-01,1821199.0,105113.0,21897.0,734.0,0.07601017236507487,0.033173367401584636,0.5200616972530306,0.1215617971178299,-0.0245269123972309,-0.021423282108299795,0.03549634569962835,39,51.0,15.0,30.0,98.57797238127316,73.86342202761872,203880.85921185583,0.30498484338160997,0.04608822765611209,0.6321770461434827,5.684237116874368,-6.206094813068373,0.5727517682721455,0.11379043448972717,0.27223332357696195,0.010161148218255305,0.1726910407544628,0.5386087066352307,121.6965133041428,3.986022229706972
133,2020-06-02,1841990.0,106195.0,20791.0,1082.0,0.06736609607951408,0.028717280777824435,0.5200486688012467,0.11539795692987301,-0.008931907606554188,0.0022088226049983227,0.006261658954006573,38,54.0,15.0,30.0,98.59219380888291,73.6800134589502,203611.55366756392,0.3171265141318977,0.06376352830292654,0.6299547947510095,5.656460296096904,-6.220229138627188,0.5765477792732167,0.11729550807537013,0.2717783057537012,0.009978670868102288,0.1746532133243607,0.5384651749663526,121.85695693135935,3.986877523553163
134,2020-06-03,1861977.0,107184.0,19987.0,989.0,0.06544138123085491,0.028777845796374,0.519560556749023,0.11253770537454748,-0.013971754546744687,-0.00867585941595483,0.01792486395720203,39,80.0,15.0,33.0,98.57475857475858,73.94338994338995,203850.9831834832,0.32167832167832167,0.05708175310366027,0.6281832001332002,5.68065268065268,-6.211548618048618,0.5704295704295704,0.11650407925407927,0.2728146913752914,0.009932072765567766,0.17331884781884782,0.5350894771894772,122.00285780885781,3.985014985014985
135,2020-06-04,1883593.0,108192.0,21616.0,1008.0,0.06893617021276596,0.029773266599970705,0.5191491537788394,0.11536434042553192,-0.022708579666741037,-0.013387534630031108,0.028570662803927307,40,74.0,15.0,32.0,98.94857804232804,73.82870370370371,204095.29365079364,0.3149801587301587,0.04417137437668194,0.6288042824074074,5.669146825396825,-6.220382771164021,0.5710978835978836,0.11556818783068784,0.27483629487433864,0.009808823898809523,0.17292337962962964,0.5342649470899471,121.79948859126985,3.9851190476190474
136,2020-06-05,1912302.0,109304.0,28709.0,1112.0,0.06132075471698113,0.02987720535131118,0.5168283232926907,0.10767612028301886,-0.043485551301660486,-0.017603704926942947,0.049251513971504554,39,58.0,15.0,32.0,99.04651941097724,73.64759036144578,204029.94912985276,0.31291834002677377,0.04518026703627732,0.6304662483266399,5.662483266398929,-6.236614290495314,0.5704484605087015,0.11724404283801874,0.2713858327309237,0.009555400589022758,0.17296397255689422,0.537579718875502,122.02945699464526,3.984772423025435
137,2020-06-06,1934818.0,110032.0,22516.0,728.0,0.07838479809976247,0.032467306753914994,0.5165467416054661,0.12493548099762469,-0.03934224255688092,-0.034720741571718554,0.057166637532513866,36,54.0,14.0,26.0,99.17634479355156,73.5453199539398,204694.7040631683,0.30120085540384933,0.03639075281060349,0.6323399078795854,5.664418489883205,-6.244476065142293,0.5736140812633657,0.11446960026320117,0.2707517010034545,0.009852270103635466,0.1737990129955585,0.5427921204145418,122.03399193946373,3.9843724296759335
138,2020-06-07,1953434.0,110422.0,18616.0,390.0,0.07142857142857142,0.030180817027567055,0.5184826445176564,0.11806255854800936,-0.04150233599194067,-0.016649433871227734,0.04692562425985919,36,64.0,16.0,28.0,99.3610610774521,73.73751432782053,204355.45210414278,0.3040772883576224,0.02011359671853589,0.625817799246766,5.660553463238906,-6.298054691337809,0.572294088750614,0.11509921401670214,0.2794974505321762,0.009821390458490257,0.17216027509415427,0.5363102832814803,121.82357966268218,3.9831341084001965
139,2020-06-08,1971641.0,111144.0,18207.0,722.0,0.06747755574862438,0.028900956413277657,0.5182544086601721,0.11191934549666956,-0.04069805289459898,-0.001152381390239875,0.0358816131332875,42,51.0,16.0,33.0,99.16537637950914,73.94350189425136,203567.7305221545,0.31856366331741065,0.034950157580709594,0.6268279196178553,5.6578817328282,-6.250963103277878,0.5667929500905946,0.11706092900675343,0.27815969303244936,0.00966656791467633,0.17135063416241147,0.532103755559216,121.9401497282161,3.985504859166529
140,2020-06-09,1990446.0,112174.0,18805.0,1030.0,0.06866197183098592,0.030386323485116197,0.5185983091357141,0.1140011737089202,-0.03999035893432827,-0.007524162371658831,0.039561753680268714,43,75.0,17.0,32.0,99.0771630274175,73.75045148579872,204280.3060252832,0.31029387621080284,0.03578838296396857,0.6268642751600723,5.657855852897718,-6.2766356920045965,0.567230339845674,0.11576120505664095,0.2782307165325891,0.009736085100968643,0.17070610737153177,0.5333768510917748,121.92021999671648,3.985224101132819
141,2020-06-10,2013298.0,113103.0,22852.0,929.0,0.06858147713950762,0.0300708089970584,0.518483221264029,0.11270624267291911,-0.04500410613422187,-0.011070913533140483,0.04621941588675676,43,70.0,17.0,34.0,99.17394861724759,73.76059564719358,204443.03256422843,0.30813287514318444,0.03851157890540703,0.6279334478808706,5.668793978072329,-6.268692194403535,0.5694648993618066,0.11570330551464572,0.2771033086892489,0.009730143367697595,0.17111220749468173,0.5351026836851579,121.85425822287678,3.9851088201603666
142,2020-06-11,2036500.0,113980.0,23202.0,877.0,0.0753444737613603,0.03170314131595835,0.5184056866472003,0.11963046027557901,-0.039566634253134225,-0.015267484422000425,0.04439395969496536,45,73.0,17.0,37.0,99.39197127937337,73.76892950391645,204212.8926240209,0.3093994778067885,0.03713310995068068,0.6286524640992167,5.664817232375979,-6.249503100522194,0.5657637075718016,0.11589521866840732,0.27660208541122716,0.009719134812336815,0.1714454960835509,0.5355742656657964,121.82195381853785,3.9853133159268928
